x;y
10.4235;29.134
10.399;29.1671
10.3743;29.189
10.358;29.2111
10.3336;29.2334
10.3173;29.2556
10.2928;29.2776
10.2765;29.2998
10.2522;29.322
10.2361;29.3443
10.2119;29.3668
10.1957;29.3891
10.1712;29.4111
10.1549;29.4333
10.1304;29.4665
10.1138;29.4884
10.0896;29.5108
10.0735;29.5331
10.049;29.5551
10.0326;29.577
10.0079;29.5988
9.99098;29.6202
9.97409;29.6418
9.94935;29.6636
9.93299;29.6858
9.90852;29.708
9.89225;29.7413
9.86786;29.7635
9.85142;29.7854
9.82694;29.8075
9.81035;29.8294
9.78578;29.8515
9.76112;29.8736
9.7445;29.8956
9.71996;29.9177
9.70378;29.94
9.67924;29.962
9.66273;29.984
9.63803;30.006
9.62162;30.028
9.59717;30.0502
9.58069;30.0721
9.55604;30.094
9.53955;30.127
9.51496;30.1489
9.49855;30.171
9.47396;30.1931
9.45748;30.2152
9.43305;30.2373
9.41675;30.2594
9.39243;30.2817
9.36801;30.3039
9.35173;30.3262
9.33558;30.3486
9.31104;30.3707
9.29462;30.3928
9.27;30.4259
9.25315;30.4475
9.22833;30.4693
9.21195;30.4913
9.18739;30.5133
9.17065;30.5351
9.14581;30.557
9.12942;30.5791
9.11316;30.6013
9.08902;30.6237
9.0728;30.6459
9.04863;30.6683
9.03215;30.6904
9.00761;30.7125
8.99111;30.7345
8.96655;30.7676
8.95017;30.7897
8.92566;30.8118
8.90919;30.8338
8.88436;30.8556
8.86763;30.8774
8.84294;30.8993
8.82661;30.9214
8.80246;30.9438
8.78619;30.966
8.76157;30.9879
8.74512;31.0099
8.72069;31.0322
8.70434;31.0544
8.67986;31.0877
8.66359;31.1098
8.64744;31.1321
8.62284;31.154
8.60631;31.176
8.58159;31.198
8.56524;31.2201
8.54096;31.2423
8.52457;31.2644
8.5;31.2865
8.4836;31.3086
8.45912;31.3308
8.44278;31.3529
8.41832;31.375
8.40204;31.4083
8.38571;31.4304
8.36139;31.4527
8.34484;31.4747
8.3203;31.4967
8.30345;31.5183
8.27864;31.5401
8.26209;31.5621
8.23749;31.584
8.22135;31.6063
8.19719;31.6286
8.18129;31.6622
8.16516;31.6844
8.1407;31.7064
8.12442;31.7286
8.09994;31.7508
8.08364;31.7729
8.05902;31.795
8.04234;31.8168
8.01765;31.8498
8.00114;31.8716
7.97646;31.8935
7.96023;31.9158
7.93575;31.9378
7.91931;31.9599
7.89478;31.982
7.8782;32.015
7.85384;32.0372
7.8374;32.0593
7.81291;32.0813
7.79673;32.1036
7.77228;32.1258
7.75601;32.1481
7.7317;32.1704
7.71548;32.2038
7.69114;32.226
7.675;32.2483
7.65061;32.2706
7.63437;32.2929
7.60986;32.3151
7.59348;32.3373
7.5688;32.3705
7.55227;32.3925
7.52747;32.4144
7.51073;32.4362
7.48608;32.4583
7.46972;32.4804
7.44521;32.5026
7.42888;32.5249
